235607020618;123456;Ze das Neves;06456336155;0.000;Ativo;
235741020618;123456;Ze da Silva;43519765285;0.000;Ativo;
235854020618;123456;Ze Lindoufo;01354821679;0.000;Ativo;
235943020618;123456;Ze Lindoufo;49731597853;0.000;Ativo;
000037020618;123456;Zezao Sangue Bao;56232198700;0.000;Ativo;
040155030618;023456;Willian Xavier;69148632156;0.000;Ativo;
040301030618;023456;Jao das Neves;69066602018;0.000;Ativo;
040338030618;023456;Will Xavier;04072018123;0.000;Ativo;
040404030618;023456;SuaMae de Olinda;12345678901;0.000;Ativo;
001004040618;1senha;Franco de Assis Machado;35124695784;0.000;Ativo;
